STOCK REGISTER REPORT (15-02-2026),,,,,,,,
SNo,Product Name,Barcode,Product Code,Category,Subcategory,stock,Avg Cost,Value
49,RELISH PISTACHIO,39382,9501025175816,UNAVAILABLE,UNAVAILABLE,-209 Nos,0.150,-31.350
50,KINDER MAXI T1 X 36 X 8,32485,40084077,UNAVAILABLE,UNAVAILABLE,"-2,064 Nos",0.175,-361.200
51,TIFFANY  DELIGHTS CHOCO,12926,6291003204579,UNAVAILABLE,UNAVAILABLE,-12 Nos,0.450,-5.400
52,MAI DUBAI 6 PCS,41326,6514747001625,UNAVAILABLE,UNAVAILABLE,-49 Nos,0.800,-39.200
53,PYARY CUCUMBER,25077,8908000105041,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.350,-2.100
54,ZANDU BALM,37521,8901248801089,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.300,-1.200
55,INDOMIE CUP NOODLE BEEF,29222,089686122046,UNAVAILABLE,UNAVAILABLE,-189 Nos,0.400,-75.600
56,M&M-S PEANUT 49.3G,12042,04052300,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
57,M&M-S MINIS TUBE 30G,12041,04051806,UNAVAILABLE,UNAVAILABLE,-248 Nos,0.400,-99.200
58,MAZOON LABAN STW 200ML,41256,6291108090268,UNAVAILABLE,UNAVAILABLE,-33 Nos,0.150,-4.950
59,LIPTON  TEA 400G,24679,6281006856370,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.800,-7.200
60,AL MADINA RICE 5 KG,31016,9501100020475,UNAVAILABLE,UNAVAILABLE,-2 Nos,4.000,-8.000
61,LISTERIN  TOTAL CARE SMOOTH MINT,38380,3574661057071,UNAVAILABLE,UNAVAILABLE,-14 Nos,1.800,-25.200
62,LISTRIN ZERO 250ML,37547,3574660666144,UNAVAILABLE,UNAVAILABLE,-21 Nos,1.800,-37.800
63,KWALITY RASPBERY,37533,6291053060163,UNAVAILABLE,UNAVAILABLE,-583 Nos,0.150,-87.450
64,KINDER JOY,37600,80974482,UNAVAILABLE,UNAVAILABLE,-70 Nos,0.450,-31.500
65,KINDER JOY GIRLS,37601,80768258,UNAVAILABLE,UNAVAILABLE,-187 Nos,0.450,-84.150
66,LUSIN CUPCAKE STW,6281007044110,6281007044110,UNAVAILABLE,UNAVAILABLE,-289 Nos,0.225,-65.025
67,CHARCOAL 5KG,40205,100000482,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
68,DOVE SOAP MOIST CREAM 135G,6281006592407,6281006473645,UNAVAILABLE,UNAVAILABLE,-45 Nos,0.600,-27.000
69,MOGUL JELLY 35G,37710,7790580602000,UNAVAILABLE,UNAVAILABLE,-39 Nos,0.100,-3.900
70,PUK SQUEZE CHEESE 400G,37714,6281048106495,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.950,-2.850
71,123,19851,123,UNAVAILABLE,UNAVAILABLE,-121 Nos,0.100,-12.100
72,GALAXY FLUTES 2 FINGER,36809,6221134000108,UNAVAILABLE,UNAVAILABLE,-734 Nos,0.200,-146.800
73,CORONA BRUSH,41603,6926091407105,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.350,-1.400
74,RANI 3 JEWELS 240ML,11797,6281034015022,UNAVAILABLE,UNAVAILABLE,-57 Nos,0.300,-17.100
75,BRITTANIA DIGESTIVE SUGAR FREE,11977,6291007902198,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.850,-1.700
76,PEPSI 2.25 LTR,12185,012000004070,UNAVAILABLE,UNAVAILABLE,"-1,715 Nos",0.850,"-1,457.750"
77,EXATICA MANGO AIR FRESHENER,39375,784978172425,UNAVAILABLE,UNAVAILABLE,-60 Nos,1.300,-78.000
78,7 DYES APPLE,40131,6281183000580,UNAVAILABLE,UNAVAILABLE,-34 Nos,0.200,-6.800
79,DRY BEEF PEPPER,41606,9900256010218,UNAVAILABLE,UNAVAILABLE,-15 Nos,0.950,-14.250
80,GLU STIC 8GM,26115,8802946502073,UNAVAILABLE,UNAVAILABLE,-21 Nos,0.300,-6.300
81,PEPSI 150 ML,26455,012000801655,UNAVAILABLE,UNAVAILABLE,-162 Nos,0.200,-32.400
82,ULKER STICK CRACKER 30GM,28606,8690504056201,UNAVAILABLE,UNAVAILABLE,"-1,346 Nos",0.100,-134.600
83,WRIGLEY PEPPERMINT BTL,24924,4009900414210,UNAVAILABLE,UNAVAILABLE,-30 Nos,1.400,-42.000
84,SUROOR TOMOTO KECHUP FLVR,14727,9501100486639,UNAVAILABLE,UNAVAILABLE,-109 Nos,0.075,-8.175
85,ENCHANTEUR   ROMANTIC 250ML,29077,8888202000675,UNAVAILABLE,UNAVAILABLE,-6 Nos,1.300,-7.800
86,NIVEA DEO R/N  PEARL & BEAUTY 50 ML,32161,4005808837359,UNAVAILABLE,UNAVAILABLE,-7 Nos,1.500,-10.500
87,ENCHNTR ROMANTIC 250GM,8888202005069,8888202005069,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.000,-2.000
88,ABANG KU,38142,9556819381010,UNAVAILABLE,UNAVAILABLE,-10 Nos,0.450,-4.500
89,WRIGLEY STRAWBERRY BTL,16686,4009900430951,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.400,-7.000
90,ALMRAI CREME CARMEL 100G,34839,6281007023887,UNAVAILABLE,UNAVAILABLE,-18 Nos,0.200,-3.600
91,VIMTO CORDIAL,10007,6281034001063,UNAVAILABLE,UNAVAILABLE,-15 Nos,1.200,-18.000
92,POP FRUIT COCKTAIL 250ML,35102,6291100511150,UNAVAILABLE,UNAVAILABLE,-126 Nos,0.150,-18.900
93,7DAYS CAKE BAR STRAW,29166,6281183000214,UNAVAILABLE,UNAVAILABLE,-250 Nos,0.100,-25.000
94,WATER,37307,100000326,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.000,0.000
95,TOVA CHERRY JAM 450G,38880,8711173007629,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.800,-1.600
96,DELUXE DARK,41541,6214320216292,UNAVAILABLE,UNAVAILABLE,-12 Nos,0.150,-1.800
97,WINSTON WIHTE,37025,012300253970,UNAVAILABLE,UNAVAILABLE,-89 Nos,2.000,-178.000
98,RANI PEACH FLOAT,10230,6281034900175,UNAVAILABLE,UNAVAILABLE,-292 Nos,0.300,-87.600
99,LUX CERAMY REELECTION 170G,39879,6281006485150,UNAVAILABLE,UNAVAILABLE,-9 Nos,0.450,-4.050
100,MALAI PISTA KULFI,36454,6291053070230,UNAVAILABLE,UNAVAILABLE,-115 Nos,0.250,-28.750
101,LAYES SALT 48G,39518,6281036115003,UNAVAILABLE,UNAVAILABLE,-497 Nos,0.350,-173.950
102,SENSODYNE FLOURIDE 75ML,38954,9502930974976,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.800,-9.000
103,DORITOS SWEET CHILLI PEPPER,36155,6281036567208,UNAVAILABLE,UNAVAILABLE,-94 Nos,0.900,-84.600
104,DAIRY MILK FRUIT NUT 37G,39571,7622210432193,UNAVAILABLE,UNAVAILABLE,-31 Nos,0.350,-10.850
