STOCK REGISTER REPORT (15-02-2026),,,,,,,,
SNo,Product Name,Barcode,Product Code,Category,Subcategory,stock,Avg Cost,Value
1255,DCL INSTANT YEAST 125G,37701,3516663260004,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.800,-1.600
1256,CHANDRIKA AYURVEDIC SOAP 75GM,29436,8901370000015,UNAVAILABLE,UNAVAILABLE,-96 Nos,0.250,-24.000
1257,MELON MILK,29256,8888196115522,UNAVAILABLE,UNAVAILABLE,-27 Nos,0.600,-16.200
1258,PRINGLES CHEESY CHEESE,5053990106981,5053990106981,UNAVAILABLE,UNAVAILABLE,-37 Nos,1.050,-38.850
1259,SOUR WANT,39654,8693323854423,UNAVAILABLE,UNAVAILABLE,-21 Nos,0.100,-2.100
1260,RHT SAHAR BANTH,29114,5029138714097,UNAVAILABLE,UNAVAILABLE,-14 Nos,0.650,-9.100
1261,PARACUTE GOLD ANTI DURUF,8901200200196,8901200200196,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.900,-2.700
1262,OASIA WATER 5GLN,29273,1031018894519,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1263,CHIPS OMAN CAN 137 GM,29641,9501100018120,UNAVAILABLE,UNAVAILABLE,-87 Nos,0.650,-56.550
1264,SUROOR CHIPS SALT 1X2X24X14G,29138,9501100482631,UNAVAILABLE,UNAVAILABLE,-861 Nos,0.075,-64.575
1265,EASTERN COCONUT MILK TIN 24X400ML,29460,8902850000013,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.800,-3.200
1266,FINE JUMBO ROLL 325MX1 ROLL+1,29270,6251001221763,UNAVAILABLE,UNAVAILABLE,-2 Nos,2.700,-5.400
1267,ORYX BISCUIT,29267,813388000117,UNAVAILABLE,UNAVAILABLE,-26 Nos,0.150,-3.900
1268,AL MARAI  MANGO MIX FRUIT 300ML,31637,6281007021869,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.350,-1.750
1269,GODREJ  HAIR DYE BLACK 10GM,29318,8901023001130,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.700,-1.400
1270,GOLD MEDAL OIL 3ML,29252,8888115000229,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.300,-1.800
1271,CBC COCONUT OIL 680,29242,8888011050052,UNAVAILABLE,UNAVAILABLE,-3 Nos,1.600,-4.800
1272,INDOMIE FRIED NOODLES 80GM,29046,089686120714,UNAVAILABLE,UNAVAILABLE,-411 Nos,0.200,-82.200
1273,DABUR HAIR CREAM REGULAR,29307,5022496103046,UNAVAILABLE,UNAVAILABLE,-16 Nos,0.900,-14.400
1274,CINTHOL SOAPS LIME 125GM,29313,8901023000171,UNAVAILABLE,UNAVAILABLE,-20 Nos,0.400,-8.000
1275,PARACHUTE COCONUT ALMOND 140G,29378,8901088022514,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.800,-4.000
1276,GILLETE BLUE II DIS NEW HRDC 48,28189,7702018840786,UNAVAILABLE,UNAVAILABLE,-160 Nos,0.500,-80.000
1277,SAVOY BURN RELIEF SPRAY 50ML,29538,5034593040100,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.300,-2.600
1278,ZAAKY POTATO STIX,15312,9501100482402,UNAVAILABLE,UNAVAILABLE,"-1,418 Nos",0.050,-70.900
1279,MIRINDA  2.25 LTR,25311,012000800191,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.850,-6.800
1280,LIFEBUOY SOAP - CARE 125G,40111,6281006483668,UNAVAILABLE,UNAVAILABLE,-16 Nos,0.400,-6.400
1281,LUX 120G,40112,6281006484887,UNAVAILABLE,UNAVAILABLE,-12 Nos,0.350,-4.200
1282,DELMONTE PINEAPPLE CHUNK 567G,34598,024000012412,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.950,-1.900
1283,TASBEERA PLAIN CROISSANT,15261,6281100084037,UNAVAILABLE,UNAVAILABLE,-507 Nos,0.225,-114.075
1284,MASAFI  WATER 500ML,15132,6291001000029,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.000,0.000
1285,BATOOK CHEWING GUM REG. ORANGE,14981,796648103158,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.100,-0.500
1286,DEW 150ML,15016,012000803703,UNAVAILABLE,UNAVAILABLE,-454 Nos,0.200,-90.800
1287,MUMTAZ TEA BAG 25 S,15101,9501100077899,UNAVAILABLE,UNAVAILABLE,-43 Nos,0.500,-21.500
1288,TWIN CAKE BANANA,37460,9501100306401,UNAVAILABLE,UNAVAILABLE,-338 Nos,0.100,-33.800
1289,EXTRASPEARMING FLAVUR,14852,4009900414241,UNAVAILABLE,UNAVAILABLE,-27 Nos,1.400,-37.800
1290,FREEZ GRENADINE 275ML,14904,762571500029,UNAVAILABLE,UNAVAILABLE,-133 Nos,0.700,-93.100
1291,LADIES SHOES YN2645 H/CXX,14748,31,UNAVAILABLE,UNAVAILABLE,-9 Nos,0.000,0.000
1292,WRIGLEY WATER MELON PELLET,14787,42124276,UNAVAILABLE,UNAVAILABLE,"-1,686 Nos",0.250,-421.500
1293,HAYAT SUPREME TK   PET,14689,6291003039959,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.250,-1.250
1294,CURRY FLAVOUR CUP,36185,089686122138,UNAVAILABLE,UNAVAILABLE,-573 Nos,0.400,-229.200
1295,HAYAT MAYONNAISE,14701,6291003191954,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.850,-2.550
1296,HAYAT KETCHEP 325G,14703,6291003161674,UNAVAILABLE,UNAVAILABLE,-45 Nos,0.300,-13.500
1297,TIFFANY BUGLES KETCHUP,14522,6291003068270,UNAVAILABLE,UNAVAILABLE,-129 Nos,0.075,-9.675
1298,TIFFANY BUGLES CHILLI,14523,6291003068256,UNAVAILABLE,UNAVAILABLE,-16 Nos,0.075,-1.200
1299,MAI DUBAI 24*200ML,40365,6297000611198,UNAVAILABLE,UNAVAILABLE,-32 Nos,1.000,-32.000
1300,TIFFANY BUGLES CHEESE125G,6291003067198,6291003067198,UNAVAILABLE,UNAVAILABLE,-135 Nos,0.650,-87.750
1301,MAZOLA MAYONNAISECHILLI 750ML,14619,6281003122423,UNAVAILABLE,UNAVAILABLE,-1 Nos,1.700,-1.700
1302,TAPE 2,14498,1141012699444,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.000,0.000
1303,TIFFANY BUGLES CHEESE,6291003058004,6291003058004,UNAVAILABLE,UNAVAILABLE,-284 Nos,0.450,-127.800
1304,TIFFANY BUGLES CHEESE,14521,6291003068232,UNAVAILABLE,UNAVAILABLE,-165 Nos,0.075,-12.375
1305,AL MUDHISH CHILLI FLV,30845,9501033112636,UNAVAILABLE,UNAVAILABLE,-224 Nos,0.400,-89.600
1306,GATSBY ADVANTAGE,35727,4902806002355,UNAVAILABLE,UNAVAILABLE,-11 Nos,0.600,-6.600
1307,DUREX FEHTER ELIT 6P,36543,5010232964471,UNAVAILABLE,UNAVAILABLE,-5 Nos,3.600,-18.000
1308,DAHABI PUFF 57G,35140,9501100305466,UNAVAILABLE,UNAVAILABLE,-438 Nos,0.200,-87.600
1309,OMELA  MILK 170ML,28422,8716200341530,UNAVAILABLE,UNAVAILABLE,-698 Nos,0.200,-139.600
1310,FAIRCO POTATO STICK HOT 50GM,28746,087034040240,UNAVAILABLE,UNAVAILABLE,-44 Nos,0.600,-26.400
1311,DAHABI MINI CROSEBN,37780,9501100306524,UNAVAILABLE,UNAVAILABLE,-88 Nos,0.200,-17.600
1312,TOVA ORANGE JAM 450GM,28766,8711173007667,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.800,-1.600
1313,SUROOR STICK SALT 24X18,28438,9501100482426,UNAVAILABLE,UNAVAILABLE,"-1,304 Nos",0.075,-97.800
1314,AL RAWABI RED GRAPE JUCIE 200ML,28167,6291030109052,UNAVAILABLE,UNAVAILABLE,-39 Nos,0.175,-6.825
1315,ENCHANTEUR DESIRE 50ML,28613,8888202045690,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.300,-2.600
1316,ENCHANTEUR ALLURING 125,28154,8888202026415,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.800,-0.800
1317,R.S. OLIVE OIL 400C,27973,8420701103084,UNAVAILABLE,UNAVAILABLE,-1 Nos,1.600,-1.600
1318,GILLETE FOAM LEMON 200ML,28217,3014260228750,UNAVAILABLE,UNAVAILABLE,-7 Nos,1.200,-8.400
1319,CAKE BAR DAHBI,38410,9501100307057,UNAVAILABLE,UNAVAILABLE,-407 Nos,0.184,-74.807
1320,WRIGLEY DOUBLE MINT,27876,40099217,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.100,-0.600
1321,SUPERMAX BLADE,28306,752754002273,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.000,0.000
1322,SENORITA LIP CARE,28353,663234090263,UNAVAILABLE,UNAVAILABLE,-10 Nos,0.600,-6.000
1323,WRIGLEY TURBULENCE 5 W-MELON,16407,42188889,UNAVAILABLE,UNAVAILABLE,-47 Nos,0.600,-28.200
1324,AL MARAI FRESH MILK,27960,6281007023115,UNAVAILABLE,UNAVAILABLE,"-3,502 Nos",0.200,-700.400
1325,MIAOW MIAOW CHIPS,35910,9556345007484,UNAVAILABLE,UNAVAILABLE,-28 Nos,0.500,-14.000
1326,TIFFANY DIGESTIVE BISCUITS,14297,6291003000157,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.000,-5.000
1327,TIFFANY  CASHEW NUTTY BITE 90GM,14313,6291003005152,UNAVAILABLE,UNAVAILABLE,-82 Nos,0.210,-17.220
1328,TIFFANY BUTTER COOKIES,14315,6291003005992,UNAVAILABLE,UNAVAILABLE,-10 Nos,0.500,-5.000
1329,ENCHANTEUR TALC ROMANTIC 125GM,14163,88821184,UNAVAILABLE,UNAVAILABLE,-14 Nos,0.800,-11.200
1330,OASIS WATER 1.5LTR,26725,6085010030166,UNAVAILABLE,UNAVAILABLE,"-2,698 Nos",0.200,-539.600
1331,IGLOO VANILLA CUPS 125ML,14035,6291003095610,UNAVAILABLE,UNAVAILABLE,-182 Nos,0.200,-36.400
1332,IGLOO BIG 3 IN 1,14078,6291003099298,UNAVAILABLE,UNAVAILABLE,-379 Nos,0.150,-56.850
1333,IGLOO SANDAE CUP 190ML,14079,6291003095658,UNAVAILABLE,UNAVAILABLE,-93 Nos,0.400,-37.200
1334,IGLOO MARK UP 90ML,14083,6291003098604,UNAVAILABLE,UNAVAILABLE,-612 Nos,0.150,-91.800
1335,MARLBRO RED 28,41450,7622100761228,UNAVAILABLE,UNAVAILABLE,-347 Nos,2.500,-867.500
1336,CALIFORNIA TUNA,35904,100000084,UNAVAILABLE,UNAVAILABLE,-6 Nos,1.000,-6.000
1337,LAYS SALT 14 GM,14008,6281036110008,UNAVAILABLE,UNAVAILABLE,-655 Nos,0.075,-49.125
1338,MALAI KULFI 140ML,14011,6291003095672,UNAVAILABLE,UNAVAILABLE,-109 Nos,0.400,-43.600
1339,MARLBRO TOUCH,41355,7622100749981,UNAVAILABLE,UNAVAILABLE,-155 Nos,2.200,-341.000
1340,SOUR BELT COLA,41650,8682304260506,UNAVAILABLE,UNAVAILABLE,-14 Nos,0.050,-0.700
1341,NIVEA DEO STICK AQUA COOL MEN  40ML,32165,42107279,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.600,-6.400
1342,IGLOO CHOCOLATE CUPS 125,14032,6291003095641,UNAVAILABLE,UNAVAILABLE,-77 Nos,0.200,-15.400
1343,IGLOO MANGO CUPS,14033,6291003095634,UNAVAILABLE,UNAVAILABLE,-107 Nos,0.200,-21.400
1344,PLATE A131C,13878,1141022468993,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.000,0.000
1345,CAP,13912,1071002486443,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.000,0.000
1346,HOTPACK ALUFOIL 3.75,6291101711719,6291101711719,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.800,-6.400
1347,GOLD LEAF 10X20=200,35112,5000219020054,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1348,LONDON DAIRY ALMOND STICK 140,14073,6291003099472,UNAVAILABLE,UNAVAILABLE,-204 Nos,0.750,-153.000
1349,JUMBO HOT SAUCE 88ML,13718,9501054301095,UNAVAILABLE,UNAVAILABLE,-111 Nos,0.150,-16.650
1350,TIDE MB 1.5KG,13724,5413149806559,UNAVAILABLE,UNAVAILABLE,-11 Nos,1.950,-21.450
1351,SUROOR STICK SALT 24X18,13612,9501100482839,UNAVAILABLE,UNAVAILABLE,-896 Nos,0.075,-67.200
1352,ARIEL DOWNY BLUE 260G,13375,5410076225934,UNAVAILABLE,UNAVAILABLE,-32 Nos,0.500,-16.000
1353,OMANI HALWA 400GM,27770,5029138614151,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.733,-0.733
1354,LASER GLUE 3GM,13313,4719867213732,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1355,VICKS  INHALER PI,38107,4084500208872,UNAVAILABLE,UNAVAILABLE,-9 Nos,1.100,-9.900
1356,A/W AEROSO LAVENDR 300ML,27654,5000146980162,UNAVAILABLE,UNAVAILABLE,-16 Nos,1.100,-17.600
1357,NESTLE KITKAT CHUNKY CARMEL 42G,40916,6294003588274,UNAVAILABLE,UNAVAILABLE,-193 Nos,0.400,-77.200
1358,PRAN JHAL MURI 60G,35167,846656000656,UNAVAILABLE,UNAVAILABLE,-151 Nos,0.150,-22.650
1359,DABUR HAMMAM ZAITH IC 1KG,27612,62,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1360,TISSUES (150 SHTS),27323,8113053111194,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.000,0.000
1361,ZAAKY CHILLY,27283,9501100482365,UNAVAILABLE,UNAVAILABLE,"-3,129 Nos",0.075,-234.675
1362,LIPTON TEA 200G,27164,6281006856356,UNAVAILABLE,UNAVAILABLE,-10 Nos,1.000,-10.000
1363,RELISH COCONUT & OATS COOKIES 42G,39863,9501025171511,UNAVAILABLE,UNAVAILABLE,-37 Nos,0.150,-5.550
1364,LUX SMALL WIGHT,39916,6281006484702,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1365,LUX ROSE SMALL,39917,6281006484641,UNAVAILABLE,UNAVAILABLE,-23 Nos,0.250,-5.750
1366,TDAYS CAKE BAR PRMO,27190,6281183000238,UNAVAILABLE,UNAVAILABLE,-499 Nos,0.100,-49.900
1367,ETISALBI BODY SPRAY 150ML,27486,6291100179350,UNAVAILABLE,UNAVAILABLE,-1 Nos,1.200,-1.200
1368,BEDSHEET SINGLE  INDIGO W/FXX,27552,075574010243,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1369,KLEENEX DECOR MIX 1X5,27194,6281002400393,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1370,AL MARAI MILK LF VTAMINE 180ML,27249,6281007023535,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1371,BRITANNIA CHOCO COOK 90G,26906,8901063136779,UNAVAILABLE,UNAVAILABLE,-19 Nos,0.400,-7.600
1372,SUROOR STICKS CHILLY 18G,26799,9501100482341,UNAVAILABLE,UNAVAILABLE,"-1,012 Nos",0.075,-75.900
1373,SHAVING SET RAZOR,27259,6222001501223,UNAVAILABLE,UNAVAILABLE,-11 Nos,0.700,-7.700
1374,RHT POP CORN 1 X 27,26900,5029138714073,UNAVAILABLE,UNAVAILABLE,-151 Nos,0.100,-15.100
1375,ROXY CHOCLAIT,41568,839796007012,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.200,-0.800
1376,FINE TISSUE 200X5,26914,6251001210415,UNAVAILABLE,UNAVAILABLE,-60 Nos,0.500,-30.000
1377,LU BARNI CHOCO 30G,27471,7622300661106,UNAVAILABLE,UNAVAILABLE,-75 Nos,0.300,-22.500
1378,DBR DM FAIRN SOAP 125G,26656,6291069211610,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.400,-0.800
1379,CRUNCHOS PISTACHIO 20GM,27132,5038572240192,UNAVAILABLE,UNAVAILABLE,-128 Nos,0.200,-25.600
1380,LUX SOAP WAKE MEUP 170G D,39915,6281006485006,UNAVAILABLE,UNAVAILABLE,-11 Nos,0.450,-4.950
1381,DOVE NATRIVE SOLUTION DAILY CARE 200ML,40114,6281006423206,UNAVAILABLE,UNAVAILABLE,-7 Nos,1.200,-8.400
1382,SUROOR FILLED MILK POWDER 350G,40129,9501033121973,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.850,-2.550
1383,LAYS FORNO 43 G,35881,6281036194107,UNAVAILABLE,UNAVAILABLE,-759 Nos,0.350,-265.650
1384,FRENCH CHEESE 175G,35979,6281036108401,UNAVAILABLE,UNAVAILABLE,-56 Nos,0.850,-47.600
1385,ULKER HALLEY CHOC BISC 30GM,13024,6281100350156,UNAVAILABLE,UNAVAILABLE,-161 Nos,0.105,-16.905
1386,MALTESERS 37G,13071,5000159020312,UNAVAILABLE,UNAVAILABLE,-857 Nos,0.400,-342.800
1387,SUROOR RINGS SALT,13092,9501100482815,UNAVAILABLE,UNAVAILABLE,-827 Nos,0.075,-62.025
1388,TIFFANY BIG BREAK,12925,6291003204999,UNAVAILABLE,UNAVAILABLE,-56 Nos,0.150,-8.400
1389,EMCHANTEUR TALC CHARM 125GM,12970,88821191,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.800,-4.000
1390,MAGGI CHKN BOU 24X20,12829,6221007006787,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.100,-0.800
1391,MAZOON LONG LIFE 4PCS,41076,6291108092170,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.900,-7.600
1392,DOVE BEAUTY BAR,12695,6281006473584,UNAVAILABLE,UNAVAILABLE,-9 Nos,0.450,-4.050
1393,CUP,12716,1141061928687,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1394,AL MUDHISH POTATO CHILLY,12757,9501033112063,UNAVAILABLE,UNAVAILABLE,-401 Nos,0.075,-30.075
1395,NIVEA BODY LOTION FAIRNESS 250ML,20781,4005900011770,UNAVAILABLE,UNAVAILABLE,-10 Nos,1.600,-16.000
1396,BRIT V/MARI GOLD BIS 140G,26846,6291007902204,UNAVAILABLE,UNAVAILABLE,-13 Nos,0.400,-5.200
1397,WADI,12575,9501050104010,UNAVAILABLE,UNAVAILABLE,-36 Nos,0.100,-3.600
1398,FOCUS LIGHTER,12584,6940681670045,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1399,RANI MANGO NRB,12315,6281034016210,UNAVAILABLE,UNAVAILABLE,-103 Nos,0.300,-30.900
1400,RANI ORANGE NRB,12318,6281034900441,UNAVAILABLE,UNAVAILABLE,-112 Nos,0.300,-33.600
1401,RANI APPLE NRB,12320,6281034016272,UNAVAILABLE,UNAVAILABLE,-96 Nos,0.300,-28.800
1402,ENCHANTEUR DESIRE 152GMS,12338,8888202045720,UNAVAILABLE,UNAVAILABLE,-13 Nos,0.800,-10.400
1403,BIDIYA EGG 15PCS,9120030570104,9120030570104,UNAVAILABLE,UNAVAILABLE,-23 Nos,1.300,-29.900
1404,CHAIR 12,12409,795746,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.000,0.000
1405,WHITE JAR CHEESE,21400,5760466738095,UNAVAILABLE,UNAVAILABLE,-172 Nos,1.100,-189.200
1406,WRIGLEY SPEARMINT EXTRA,50173815,50173815,UNAVAILABLE,UNAVAILABLE,-422 Nos,0.250,-105.500
1407,AXE OIL 5ML,26678,8888115000151,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.500,-3.000
1408,LACNOR BANANA MILK 180ML,26281,6291016024034,UNAVAILABLE,UNAVAILABLE,-70 Nos,0.150,-10.500
1409,CRAZZY RIBBON HB,41161,6972314640224,UNAVAILABLE,UNAVAILABLE,-25 Nos,0.700,-17.500
1410,NABIL CRACKERS 38GM,9501025020512,9501025020512,UNAVAILABLE,UNAVAILABLE,-146 Nos,0.075,-10.950
1411,TAPE WHITE,26270,1071000769869,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1412,SWITZ CUP CAKE 253,26383,6281123033029,UNAVAILABLE,UNAVAILABLE,-145 Nos,0.150,-21.750
1413,FREEZ STRAWBERRY 250,26116,762571500012,UNAVAILABLE,UNAVAILABLE,-284 Nos,0.700,-198.800
1414,LEMON MINT,26121,762571500128,UNAVAILABLE,UNAVAILABLE,-208 Nos,0.700,-145.600
1415,FREEZ  LEMON ICE 250,26117,762571500043,UNAVAILABLE,UNAVAILABLE,-130 Nos,0.650,-84.500
1416,ORYX ORANGE,25850,813388000131,UNAVAILABLE,UNAVAILABLE,-39 Nos,0.150,-5.850
1417,PRAN MANGO PICKLE 400GM,26192,831730001636,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.600,-1.200
1418,NABIL DIGESTIVE 310GM,20720,9501025171818,UNAVAILABLE,UNAVAILABLE,-7 Nos,0.800,-5.600
1419,TOBLERONE MILK,26075,76145759,UNAVAILABLE,UNAVAILABLE,-185 Nos,0.350,-64.750
1420,TOBLERONE MILK,26072,76145513,UNAVAILABLE,UNAVAILABLE,-346 Nos,0.450,-155.700
1421,CLOROX DSNFCT PINE 3L+CLUB,26145,6281065013554,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
1422,PARLE POPPINS,25886,8901719210129,UNAVAILABLE,UNAVAILABLE,-23 Nos,0.050,-1.150
1423,FREEZ PINEAPPLE DRINK,26119,762571500081,UNAVAILABLE,UNAVAILABLE,-105 Nos,0.650,-68.250
1424,AL MARAI CREAM CHEESE 108G,12586,6281007023955,UNAVAILABLE,UNAVAILABLE,-28 Nos,0.600,-16.800
1425,KITKAT COOKIE CRUMBLE 19.5,40568,6294003569006,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.200,-0.800
1426,GALAXY RIPPLE,41345,5000159519762,UNAVAILABLE,UNAVAILABLE,-1147 Nos,0.368,-422.096
1427,LEMON MINT 1.5L,41404,6291108091012,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.350,-2.700
1428,SMX AT318 TRIPL. DISP. WOMEN,25872,752754002181,UNAVAILABLE,UNAVAILABLE,-7 Nos,1.500,-10.500
1429,DAVIDOFF EVOLVE RED,40471,4030600213438,UNAVAILABLE,UNAVAILABLE,-6 Nos,1.900,-11.400
1430,VASLINE ORIGINAL 50ML,39954,6281006408647,UNAVAILABLE,UNAVAILABLE,-131 Nos,0.550,-72.050
1431,SENSODYN EXTFRESH BO41,40475,6805699956027,UNAVAILABLE,UNAVAILABLE,-11 Nos,2.200,-24.200
1432,DOVE SHAMPOO SMALL,40441,6281006423244,UNAVAILABLE,UNAVAILABLE,-11 Nos,1.200,-13.200
1433,PEN BLUE,40446,8904228120422,UNAVAILABLE,UNAVAILABLE,-39 Nos,0.100,-3.900
1434,MC VITIESDIGESTIVE BISCUIT CHOCLATE,5000396044645,5000396044645,UNAVAILABLE,UNAVAILABLE,-426 Nos,0.150,-63.900
1435,NOOJUM VANILA,40453,6281007042307,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.750,-1.500
1436,PEPSI DIET 330 ML,39516,012000002496,UNAVAILABLE,UNAVAILABLE,"-2,080 Nos",0.300,-624.000
1437,AL FAKHAMAH GRAPE,39647,6291105581035,UNAVAILABLE,UNAVAILABLE,-20 Nos,1.300,-26.000
1438,STARBUCKS COOKIES&CREAM 250 ML,41084,5711953118111,UNAVAILABLE,UNAVAILABLE,-118 Nos,1.365,-161.070
1439,PEPSI 330 ML,39443,012000002489,UNAVAILABLE,UNAVAILABLE,"-7,549 Nos",0.300,"-2,264.700"
1440,STARBUKS FRAPPUCHHINO VANILA,40513,5711953077890,UNAVAILABLE,UNAVAILABLE,-95 Nos,1.365,-129.675
1441,MAZOON LABAN UP GT,41593,6073000050171,UNAVAILABLE,UNAVAILABLE,"-1,835 Nos",0.150,-275.250
1442,MISYAL WATER 30*250 ML,40515,795656773018,UNAVAILABLE,UNAVAILABLE,-17 Nos,1.300,-22.100
1443,UNIBIK PISTA BADAM150G,39387,8906009072029,UNAVAILABLE,UNAVAILABLE,-3 Nos,0.600,-1.800
1444,UNIBIC CHOCO CHIP COOKIES 150G,40517,8906009071800,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.600,-1.200
1445,UNIBIK CHOCO NUT COOKIES 150G,40518,8906009071619,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.600,-0.600
1446,CITY CAFE ORIGINEL 240ML,40520,6210554269356,UNAVAILABLE,UNAVAILABLE,-98 Nos,0.700,-68.600
1447,CITY CAFE MOCHA,40521,6210554279355,UNAVAILABLE,UNAVAILABLE,-97 Nos,0.700,-67.900
1448,CITY CAFE LIGHT 240 ML,40522,6210554259357,UNAVAILABLE,UNAVAILABLE,-71 Nos,0.700,-49.700
1449,CITY CAFE VANILLA 240 ML,40523,6210554289354,UNAVAILABLE,UNAVAILABLE,-80 Nos,0.700,-56.000
1450,HERSHIEYS COOK&CREAM40G,41034,753854500089,UNAVAILABLE,UNAVAILABLE,-262 Nos,0.400,-104.800
1451,JUMBO CROI HONEY FILLED,6291100605712,6291100605712,UNAVAILABLE,UNAVAILABLE,-257 Nos,0.150,-38.550
1452,TIFFANY BUGLES KETCHUP,6291003067389,6291003067389,UNAVAILABLE,UNAVAILABLE,-152 Nos,0.450,-68.400
1453,PRAN SEMAI (VERMICELLI) 200GM,16682,831730006594,UNAVAILABLE,UNAVAILABLE,-11 Nos,0.300,-3.300
1454,MARAIVETAL,40387,6281007032834,UNAVAILABLE,UNAVAILABLE,-12 Nos,0.250,-3.000
1455,LOACKER  TIRAMAISU 110G,40411,8000380140541,UNAVAILABLE,UNAVAILABLE,-16 Nos,1.200,-19.200
1456,303 SS.MENTHOL,40537,6291108036679,UNAVAILABLE,UNAVAILABLE,-70 Nos,1.300,-91.000
1457,RC COLA 180ML,39039,6270200000009,UNAVAILABLE,UNAVAILABLE,-197 Nos,0.225,-44.325
1458,PARLIAMENT PLATINUM,7622100657460,7622100764861,UNAVAILABLE,UNAVAILABLE,"-1,197 Nos",1.900,"-2,274.300"
1459,LOACKER MILK 45G,80001270,80001270,UNAVAILABLE,UNAVAILABLE,-48 Nos,0.450,-21.600
1460,DUREX AIR 3 PCS,41067,8901396704201,UNAVAILABLE,UNAVAILABLE,-94 Nos,1.900,-178.600
1461,DETTOL LIQUID750ML,33336,50158935,UNAVAILABLE,UNAVAILABLE,-4 Nos,1.800,-7.200
1462,LONDEN DAIRY HAZLAENT,40468,6291003109300,UNAVAILABLE,UNAVAILABLE,-73 Nos,0.700,-51.100
1463,DAVIDOFF ONE,40306452,40306452,UNAVAILABLE,UNAVAILABLE,-254 Nos,2.600,-660.400
1464,DAVIDOFF SLIMS LIGHT,16400,40306551,UNAVAILABLE,UNAVAILABLE,-330 Nos,2.600,-858.000
1465,FAMILY GRN OLIVES WHOLE 200G #9308,10051,5013531999038,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.650,-5.200
1466,CORNFLEX ORIGINEL 375G,40270,5053827185806,UNAVAILABLE,UNAVAILABLE,-5 Nos,1.700,-8.500
1467,NASTLE TOLA,36082,6294003544690,UNAVAILABLE,UNAVAILABLE,-95 Nos,0.200,-19.000
1468,NESTLE TOFFO SMALL,40275,6294003544188,UNAVAILABLE,UNAVAILABLE,-8 Nos,0.075,-0.600
1469,7DAYS 3CHOCLAIT MUFFIN,40276,6281007048248,UNAVAILABLE,UNAVAILABLE,-124 Nos,0.375,-46.500
1470,CREAM CRACKER,20496,5351904104031,UNAVAILABLE,UNAVAILABLE,-6 Nos,0.550,-3.300
1471,FEATHWRT,40294,6290653444113,UNAVAILABLE,UNAVAILABLE,-5 Nos,0.000,0.000
