Product name,Total stock value ,In Stock,Sold,Damaged,Return to supplier ,Warehouse returns ,Revoked ,Missing ,Expired 
biscute Bonomi,2.50,5.00,6.00,,,,,0.00,0.00
bismi sugar,0.90,3.00,,,,,,,0.00
Bismi.Black Jeera,3.00,5.00,1.00,,,,,0.00,0.00
black chikpeas,2.40,8.00,14.00,,,,,0.00,0.00
black colour,0.80,2.00,1.00,,,,,0.00,0.00
Black Eagle,8.40,21.00,,,,,,,0.00
BLACK EYE BEANS 400GM,2.50,5.00,2.00,,,,,0.00,0.00
black gold brown henna,2.80,4.00,,,,,,,0.00
Black henna,0.00,0.00,3.00,,,,,3.00,0.00
black intence,7.50,5.00,1.00,,,,,0.00,0.00
blade,0.00,0.00,57.00,,,,,46.00,0.00
Blosam tissue 120sheet,0.25,1.00,52.00,,,,,,0.00
Blow Homme,0.00,0.00,1.00,,,,,0.00,0.00
blue oud,3.00,3.00,1.00,,,,,0.00,0.00
Blue parfum,0.00,0.00,10.00,,,,,3.00,0.00
blue women.bodyspray.,0.00,0.00,7.00,,,,,0.00,0.00
Blueberry,3.15,9.00,,,,,,,0.00
Bluetooth,4.00,1.00,1.00,,,,,0.00,0.00
Bluetooth music,0.90,2.00,1.00,,,,,0.00,0.00
Bluetooth speaker,5.00,2.00,,,,,,,0.00
BMW Dothi,0.00,0.00,5.00,,,,,3.00,0.00
BODY MIST,3.60,6.00,,,,,,,0.00
BODY MIST BEACH FLOWER,3.00,5.00,1.00,,,,,0.00,0.00
BODY MIST DREAM ISLAND,1.80,3.00,3.00,,,,,0.00,0.00
BODY MIST HEAVENLY,3.60,6.00,,,,,,,0.00
BODY MIST PURE CHARM,1.80,3.00,3.00,,,,,0.00,0.00
BODY MIST ROSE DUSK,2.40,4.00,2.00,,,,,0.00,0.00
BODY MIST SECRET LOVE,1.80,3.00,3.00,,,,,0.00,0.00
BODY MIST SEDUCTION,3.60,6.00,,,,,,,0.00
BODY MIST WISHES,3.60,6.00,,,,,,,0.00
bodyspry,0.40,1.00,,,,,,,0.00
bodyspry,0.00,0.00,6.00,,,,,0.00,0.00
Bombay mixture,2.28,2.00,4.00,0.00,,,,0.00,0.00
bon,4.50,9.00,79.00,,,,,0.00,0.00
Bonjem,0.00,0.00,3.00,,,,,1.00,0.00
bonux,0.95,19.00,4.00,,,,,0.00,0.00
book,3.45,23.00,,,,,,,0.00
Book,0.00,0.00,7.00,,,,,6.00,2.00
Boom Boom,0.00,0.00,22.00,,,,,10.00,0.00
Boom Boom 250ml,4.00,8.00,15.00,,,,,0.00,0.00
boos expra,0.70,1.00,7.00,,,,,1.00,0.00
boost,2.70,2.00,1.00,,,,,0.00,0.00
Borgat,0.00,0.00,,,,,,,0.00
Borges olive oil,7.00,7.00,,,,,,0.00,0.00
boro plus ice powder,0.00,0.00,4.00,,,,,0.00,0.00
BOSS 3PCS,0.00,0.00,6.00,,,,,3.00,0.00
bottle,0.35,1.00,1.00,,,,,0.00,0.00
bounty 57g,25.00,100.00,241.00,,,,,0.00,0.00
Bracket mobile Holder,3.20,2.00,1.00,,,,,0.00,0.00
BREAK 15.5g,0.88,22.00,351.00,,,,,0.00,0.00
BREAK TIME,0.03,1.00,71.00,,,,,0.00,0.00
Break time,2.34,5.00,,,,,,0.00,0.00
BREAK TIME24ps,23.00,23.00,1.00,,,,,,0.00
BREAKTIFFANY24pes,0.00,0.00,6.00,0.00,,,,6.00,0.00
bred big,1.25,5.00,73.00,,,,,0.00,0.00
bred small,0.30,1.00,120.00,,,,,0.00,0.00
brevo,0.00,0.00,12.00,,,,,0.00,0.00
Britania D/ Sugar Free 350G,3.75,5.00,,,,,,,0.00
"Britania Tosttea,335g",2.50,5.00,,,,,,,0.00
Britannia digestiv,6.30,14.00,,,,,,,0.00
Britannia Digestive 400g,0.00,0.00,,,,,,,0.00
Britannia Milk Ruck,2.00,4.00,,,,,,,0.00
Britannia.50.50.sweet?salty.71gm,2.40,24.00,,,,,,,0.00
britanniaborbon.100gm,4.20,21.00,,,,,,,0.00
brooke bond red label 400g,3.60,3.00,,,,,,,0.00
brown bread,1.35,3.00,33.00,,3.00,,,0.00,0.00
brown hair shampoo,6.30,21.00,1.00,,,,,0.00,0.00
brown sugar 1 kg bismi,20.00,20.00,9.00,,,,,0.00,0.00
Brown suger 1kg,5.20,4.00,,,,,,,0.00
BRU coffee,10.20,12.00,,,,,,0.00,0.00
Bru Orginal,4.80,3.00,1.00,,,,,0.00,0.00
Bru pure,10.80,12.00,,,,,,0.00,0.00
brush,0.70,2.00,,,,,,,0.00
brush,0.35,1.00,1.00,,,,,0.00,0.00
brush ajay,4.00,8.00,,,,,,,0.00
BRUSH COMBO,3.00,3.00,,,,,,,0.00
brush tooth Bangladeshi,10.40,26.00,6.00,,,,,0.00,0.00
brylcreem,0.00,0.00,,,,,,,0.00
Brylcreem 140ml,1.00,1.00,2.00,,,,,0.00,0.00
bucket,0.00,0.00,2.00,,,,,1.00,0.00
budi,2.00,1.00,2.00,,,,,0.00,0.00
budi c to c,12.50,5.00,4.00,,,,,0.00,0.00
Buggles corn ketch up 10.5 gm,0.00,0.00,,,,,,,0.00
bukoor,0.00,0.00,2.00,,,,,2.00,0.00
Bun,0.08,1.00,665.00,,,,,0.00,0.00
Burner,0.00,0.00,3.00,,,,,1.00,0.00
bush powder,2.40,6.00,,,,,,6.00,0.00
busket,6.00,2.00,,,,,,,0.00
busters,0.92,23.00,,,,,,,0.00
Butanegas,2.10,6.00,12.00,,,,,0.00,0.00
butter &zatar,0.00,0.00,,,,,,,0.00
butter cookies 44g,12.36,103.00,89.00,,,,,0.00,0.00
butter cookies premium,0.00,0.00,48.00,,,,,0.00,0.00
Butter croson85 gm,0.78,3.00,88.00,,,,,0.00,0.00
Butter delight biscuit,0.25,2.00,7.00,,,,,0.00,0.00
BZR01,2.70,18.00,2.00,,,,,0.00,0.00
BZ-T99,8.40,3.00,,,,,,,0.00
C type headphone,3.00,1.00,1.00,,,,,,0.00
ca84,11.00,5.00,,,,,,,0.00
cadburry,0.00,0.00,42.00,,,,,1.00,0.00
California tuna watar,0.85,1.00,11.00,,,,,0.00,0.00
Calvin Klein,10.00,5.00,,,,,,,0.00
Camel chappal,0.00,0.00,16.00,,,,,5.00,0.00
camel chilli pickle,1.00,5.00,,,,,,,0.00
Camera baby bottile,1.50,3.00,2.00,,,,,0.00,0.00
cana louundry busket,0.00,0.00,2.00,,,,,0.00,0.00
Candy,0.25,10.00,374.00,,,,,0.00,0.00
Candy,0.00,0.00,17.00,,,,,17.00,0.00
candy maamoul,0.00,0.00,1.00,,,,,0.00,0.00
cansinbant first aid plaster 10pc,0.90,9.00,,,,,,,0.00
cap adidas,0.00,0.00,1.00,,,,,0.00,0.00
cap winter,4.20,7.00,3.00,,,,,0.00,0.00
Capilano honey,8.40,6.00,,,,,,,0.00
Capilano Honey,3.00,3.00,1.00,,,,,5.00,0.00
capri-sun orenge,7.35,42.00,,,,,,,0.00
Captain oats 500g,0.50,1.00,3.00,,,,,0.00,0.00
car charger,3.50,1.00,,,,,,,0.00
car charger,1.50,1.00,,,,,,,0.00
car charger,0.00,0.00,,,,,,,0.00
car charger,0.00,0.00,6.00,,,,,3.00,0.00
Car Charger Type-C W/ Iphone,3.60,2.00,,,,,,,0.00
Car Mount Holder,12.60,6.00,1.00,,,,,0.00,0.00
car mp3,3.00,2.00,,,,,,,0.00
car mp3,0.00,0.00,1.00,,,,,0.00,0.00
car Mp3 wireless charger,2.60,1.00,,,,,,,0.00
Car Reader,6.30,7.00,,,,,,,0.00
caramel cup cake almarai,0.00,0.00,14.00,,,,,1.00,0.00
card pockrt,0.00,0.00,6.00,,,,,0.00,0.00
cardamom 50 gm top ten,0.00,0.00,,,,,,,0.00
carmel,2.00,2.00,,,,,,0.00,0.00
carmen,0.00,0.00,52.00,,,,,2.00,0.00
carta cups large,0.00,0.00,5.00,,,,,0.00,0.00
cash saver,0.00,0.00,3.00,,,,,0.00,0.00
cashew but biscut,0.00,0.00,6.00,,,,,6.00,0.00
cashew but rosted 200grm,3.60,3.00,8.00,,,,,0.00,0.00
cashew nuts  70g,18.45,41.00,154.00,,,,,0.00,0.00
cashew nuts200grm six r,0.00,0.00,6.00,,,,,9.00,0.00
cashew nuts200grm six r,9.30,6.00,,,,,,,0.00
Cashew.nuts,0.00,0.00,47.00,,,,,,0.00
cashews,0.00,0.00,2.00,,,,,2.00,0.00
Casio fx-100MS,13.20,2.00,,,,,,,0.00
Casio fx-991MS,21.60,3.00,,,,,,,0.00
Casio.fx-82MS,2.00,1.00,2.00,,,,,0.00,0.00
Casio-Fx85ES plus,26.00,4.00,,,,,,,0.00
castaway cashews,12.80,4.00,,,,,,,0.00
CAT SHWAKS,0.00,0.00,4.00,,,,,3.00,0.00
catering brand rice 5 kg,0.00,0.00,6.00,,,,,0.00,0.00
Cbc coconut oil,4.40,4.00,,,,,,,0.00
celebrat cb-13i,1.80,2.00,2.00,,,,,0.00,0.00
celebrated G3black,0.00,0.00,,,,,,,0.00
celebration tissu,7.25,29.00,43.00,,,,,0.00,0.00
cement nail,1.20,3.00,,,,,,,0.00
CFL bulbs,3.60,4.00,6.00,,,,,0.00,0.00
chain lock,1.40,1.00,1.00,,,,,0.00,0.00
chairman red,4.00,4.00,,,,,,0.00,0.00
chanadal 200gr,0.25,1.00,5.00,,,,,,0.00
chandrika soap 75 gm,0.15,1.00,59.00,,,,,0.00,0.00
charcoal.blacksoap,0.90,3.00,,,,,,,0.00
Charge Type-C to Iphone,12.00,3.00,,,,,,,0.00
charger cabel,0.00,0.00,5.00,,,,,2.00,0.00
charger cabel,6.00,3.00,1.00,,,,,0.00,0.00
charger cabel,3.00,2.00,,,,,,,0.00
Charging cabel,22.40,14.00,1.00,,,,,0.00,0.00
cheese &zatar,0.00,0.00,5.00,,,,,1.00,0.00
Cheese 900,11.50,5.00,,,,,,,0.00
cheese mazoon,0.00,0.00,12.00,,,,,3.00,0.00
cheese mazoon,5.85,9.00,,,,,,0.00,0.00
cheese.peanuts,1.00,25.00,161.00,,,,,0.00,0.00
Chia seed 250gm,8.00,8.00,6.00,,,,,0.00,0.00
chick peas 400g,0.15,1.00,22.00,,,,,0.00,0.00
Chicken biriyani,1.00,5.00,6.00,,,,,,0.00
chicken burger,0.00,0.00,0.00,,,,,,4.00
chicken frankes,0.00,0.00,20.00,,,,,8.00,0.00
chicken noodles.5pes,6.75,9.00,14.00,,,,,0.00,0.00
chickenluncheonmeat,4.40,4.00,,,,,,,0.00
chikenalsafa 1.100kg,30.45,21.00,,,,,,,0.00
Chikkan sandwich,0.80,4.00,501.00,,,,,0.00,0.00
Chilli Mayonnaise,0.00,0.00,,,,,,,0.00
chilly powder,0.00,0.00,3.00,,,,,0.00,0.00
chilly powder100gr,0.00,0.00,15.00,,,,,0.00,0.00
chips,0.00,0.00,2.00,,,,,1.00,0.00
chips Bugles,0.00,0.00,,,,,,,0.00
choclate,0.25,1.00,,,,,,,0.00
choclte,0.00,0.00,8.00,,,,,0.00,4.00
choco,0.70,1.00,,,,,,,0.00
Choco Bites,1.20,1.00,,,,,,,0.00
Choco Fills 250g,0.00,0.00,,,,,,,0.00
Chocoa Melts,13.50,3.00,,,,,,,0.00
chocolate 1kg pack,1.20,1.00,,,,,,,0.00
Chocolate and Nuts,0.00,0.00,,0.00,,,,,0.00
Chocolate cappuccino,2.40,2.00,,,,,,,0.00
chocolate cup cake,0.00,0.00,10.00,,,,,0.00,0.00
chocolate custard,0.60,4.00,2.00,,,,,0.00,0.00
chocolate kg pack,1.70,1.00,,,,,,,0.00
Chocolate milk,0.00,0.00,1.00,,,,,1.00,0.00
Chocolate milk,0.13,1.00,54.00,,,,,5.00,0.00
chocolate puff,0.21,1.00,46.00,,,,,0.00,0.00
choko made,1.20,24.00,,,,,,,0.00
chukku kappi,0.45,1.00,,,,,,,0.00
chunkos 24g,1.00,25.00,,,,,,0.00,0.00
chwigom,0.45,3.00,,,,,,,0.00
cinnamon whole 100gm,3.50,7.00,,,,,,0.00,0.00
Citizens calculator,3.80,1.00,,,,,,,0.00
clean foil,0.00,0.00,3.00,,,,,1.00,0.00
Clear 2in1 shsmboo 400ml,3.20,2.00,,,,,,,0.00
CLEAR anti dandruff shampoo,1.60,1.00,1.00,,,,,0.00,0.00
clear men,0.00,0.00,8.00,,,,,0.00,0.00
Clear men 3 in one HBF 200 ml,0.00,0.00,8.00,,,,,0.00,0.00
Clear shamboo (Herbal fusion) 200ml,4.50,5.00,,,,,,,0.00
Clear shamboo 400ml,1.60,1.00,,,,,,,0.00
clear shamboo strong growth 400ml,3.20,2.00,,,,,,0.00,0.00
clear shampoo 2in1 200ml,0.00,0.00,,,,,,4.00,0.00
clear shampoo 400ml,3.20,2.00,,,,,,,0.00
"Clear shsmboo (Hair fall defence),200ml",3.60,4.00,4.00,,,,,6.00,0.00
Clear shsmboo (Lemon) 200ml,0.00,0.00,,,,,,6.00,0.00
Clear shsmboo MAN 200ml,0.90,1.00,,,,,,,0.00
clear tap big,3.50,7.00,,,,,,0.00,0.00
CLEAR TAP SMALL,5.60,28.00,,,,,,0.00,0.00
Cleopatra Soap 120g,2.40,6.00,,,,,,,0.00
click codewire,10.50,3.00,,,,,,,0.00
Click codewire,20.40,4.00,,,,,,,0.00
cling film,0.00,0.00,2.00,,,,,1.00,0.00
cling film 700g,5.40,6.00,,,,,,,0.00
clip,6.30,21.00,3.00,,,,,0.00,0.00
clip  stel  شباصات ملابس,6.00,20.00,,,,,,,0.00
Close Up120ml,0.55,1.00,11.00,,,,,0.00,0.00
closeup,7.20,9.00,,,,,,,0.00
closeup,3.20,4.00,,,,,,,0.00
closeup 50ml,0.80,2.00,39.00,,,,,0.00,0.00
CloseUp 50ml,0.00,0.00,12.00,,,,,0.00,0.00
closeup red Triple Fresh 120g,5.20,8.00,5.00,,,,,0.00,0.00
Cloth clip,3.50,7.00,5.00,,,,,0.00,0.00
clothclip,6.90,23.00,,,,,,,0.00
clothing Rope,0.70,1.00,3.00,,,,,0.00,0.00
clove,2.40,4.00,4.00,,,,,0.00,0.00
club enargi dring,0.00,0.00,21.00,,,,,0.00,0.00
club enargidring,7.70,11.00,36.00,,,,,0.00,0.00
club soda,0.18,1.00,45.00,,,,,0.00,0.00
Club Soda 300ml,0.00,0.00,103.00,,,,,0.00,0.00
co!or Curves,0.80,1.00,,,,,,,0.00
coatmilksoap,3.15,9.00,2.00,,,,,0.00,0.00
coca cola 290 mlكولا,1.71,6.00,,,,,,,0.00
Coca Cola Light,0.00,0.00,1.00,,,,,0.00,0.00
Coca cola zero 290ml,0.00,0.00,,,,,,,0.00
cocacola 1.5L,4.40,8.00,934.00,,,,,0.00,0.00
Coca-Cola 330ml,4.94,21.00,646.00,,,,,0.00,0.00
Coca-Cola Zero 330ml,8.70,37.00,376.00,,,,,0.00,0.00
cocacola1ltr,0.35,1.00,22.00,,,,,7.00,0.00
coco cola light 330ml,4.23,18.00,417.00,,,,,0.00,0.00
coco melt,4.80,6.00,,,,,,,0.00
coco melt,4.00,5.00,1.00,,,,,,0.00
cocoa,3.00,2.00,,,,,,,0.00
Cocoa melts,3.90,3.00,1.00,,,,,,0.00
Cocoarello,20.80,13.00,,,,,,,0.00
coconut cream,1.80,3.00,,,,,,,0.00
coconut milk,0.60,1.00,5.00,,,,,0.00,0.00
Coconut milk powder,1.50,3.00,,,,,,,0.00
Coconut Milk Powder 300,2.20,2.00,2.00,,,,,0.00,0.00
coconut PCs .300or,0.00,0.00,17.00,,,,,7.00,0.00
Code Red 250ml,0.63,1.00,,,,,,,0.00
coffee mate,1.38,1.00,2.00,,,,,0.00,0.00
coffee mate 170 g,1.40,2.00,,,,,,,0.00
Coffee Mate 400g,3.20,2.00,,,,,,,0.00
coffee.soap,1.40,4.00,2.00,,,,,0.00,0.00
cogate max fresh 100ml,4.90,7.00,18.00,,,,,0.00,0.00
cola and sprite,0.00,0.00,9.00,,,,,0.00,0.00
Colgate,8.80,22.00,23.00,,,,,0.00,0.00
colgate,0.00,0.00,6.00,,,,,0.00,0.00
Colgate Advance White,6.60,11.00,3.00,,,,,0.00,0.00
Colgate brush,3.50,10.00,3.00,,,,,0.00,0.00
Colgate Charcoal,16.50,11.00,5.00,,,,,0.00,0.00
colgate double action tb,2.10,7.00,29.00,,,,,0.00,0.00
colgate fluoride,4.80,6.00,5.00,,,,,0.00,0.00
colgate herbal 100 ml,13.60,17.00,12.00,,,,,0.00,0.00
COLGATE HERBAL MISWAK,5.60,8.00,,,,,,,0.00
Colgate Max fresh,0.00,0.00,11.00,,,,,1.00,0.00
COLGATE MAX FRESH novo 100ml,7.70,11.00,5.00,,,,,0.00,0.00
COLGATE MAX RED 100ml,6.30,9.00,14.00,,,,,0.00,0.00
colgate max white 100ml,9.60,12.00,20.00,,,,,0.00,0.00
Colgate natural extracts,0.00,0.00,8.00,,,,,3.00,0.00
Colgate naturals exctact,8.10,9.00,2.00,,,,,0.00,0.00
Colgate optic white,13.00,13.00,,,,,,0.00,0.00
colgate optic white 100 g,19.50,13.00,2.00,,,,,0.00,0.00
Colgate paist100ml,0.00,0.00,,,,,,,0.00
Colgate plax,1.50,1.00,1.00,,,,,0.00,0.00
Colgate Plax Mouth Wash,3.00,2.00,,,,,,,0.00
Colgate Salt 100ml,0.00,0.00,5.00,,,,,1.00,0.00
Colgate smoll,9.20,23.00,1.00,,,,,,0.00
Colgate total,0.00,0.00,,,,,,,0.00
Colgate Triple Action 100ml,4.40,11.00,2.00,,,,,0.00,0.00
colgate zig zag,4.50,9.00,,,,,,,0.00
Colgate.charcoal .100gm,4.00,8.00,14.00,,,,,0.00,0.00
Colour pencil big,9.20,23.00,1.00,,,,,0.00,0.00
Colours pencils,3.80,19.00,1.00,,,,,0.00,0.00
comb,1.40,2.00,2.00,,,,,0.00,0.00
COMB,2.50,25.00,,,,,,0.00,0.00
COMB,0.15,1.00,,,,,,,0.00
comb,6.60,44.00,5.00,,,,,0.00,0.00
Computer Keyboard,5.40,3.00,0.00,,,,,,0.00
concept racing car,4.50,3.00,,,,,,,0.00
Concord,1.80,2.00,,,,,,,0.00
concord,3.60,4.00,2.00,,,,,0.00,0.00
concord,5.85,9.00,3.00,,,,,0.00,0.00
Concord Hard,4.50,9.00,,,,,,,0.00
concord kitchen sissor,3.00,3.00,,,,,,0.00,0.00
concord nails cutter,4.50,9.00,3.00,,,,,0.00,0.00
Concord scissors smoll,4.90,7.00,12.00,,,,,0.00,0.00
concord.toothbrush,0.40,1.00,7.00,,,,,0.00,0.00
condom,2.00,2.00,3.00,,,,,0.00,0.00
condom cared classic,17.60,11.00,4.00,0.00,,,,0.00,0.00
condoms,0.00,0.00,5.00,,,,,,0.00
connector data cable,0.90,1.00,1.00,,,,,0.00,0.00
coriander powder six r,0.00,0.00,10.00,,,,,1.00,0.00
corn falakes,1.40,2.00,3.00,,,,,0.00,0.00
Corn flakes,2.50,2.00,,,,,,,0.00
Corn Flakes 375g,0.00,0.00,2.00,,,,,0.00,1.00
corn flour 400 gm,1.60,8.00,,,,,,,0.00
corn flour400g,1.40,7.00,,,,,,,0.00
Corned Beef 340gm,0.00,0.00,,,,,,,0.00
cornox,6.00,6.00,,,,,,0.00,0.00
cornweels,2.20,2.00,,,,,,,0.00
corona brush,1.25,5.00,,,,,,,0.00
corona flex brush,0.00,0.00,,,,,,,0.00
COSMO H/sanitizer 500ml,4.00,5.00,,,,,,1.00,0.00
COSMO JELLY,2.00,5.00,,,,,,,0.00
cosmo jelly,0.20,1.00,5.00,,,,,0.00,0.00
cosmo jelly,0.40,2.00,4.00,,,,,0.00,0.00
cosmo olive jelly,0.40,2.00,1.00,,,,,0.00,0.00
Cosmo petroleum jelly,1.60,4.00,1.00,,,,,0.00,0.00
Cosmo petroleum jelly,2.00,5.00,,,,,,0.00,0.00
Cosmo petroleum jelly,2.00,5.00,4.00,,,,,0.00,0.00
COSMO VASELINE,0.20,1.00,2.00,,,,,0.00,0.00
cottan smoking filter,0.00,0.00,17.00,,,,,17.00,0.00
cotton buds,0.00,0.00,3.00,,,,,3.00,0.00
cotton buds,0.84,2.00,8.00,,,,,0.00,0.00
cotton buds 100pcs,0.33,1.00,10.00,,,,,0.00,0.00
Cotton Bud's 100s,0.28,1.00,8.00,,,,,0.00,0.00
cotton buds100,0.00,0.00,2.00,,,,,2.00,0.00
cotton buds300pcs,2.00,4.00,3.00,,,,,0.00,0.00
"coup spoon11""",1.60,4.00,,,,,,,0.00
Covas plate,7.50,6.00,,,,,,,0.00
Crackers biscoito,3.96,99.00,77.00,0.00,,,,0.00,0.00
Cream silk,2.00,2.00,,,,,,,0.00
Cream silk,1.00,1.00,,,,,,,1.00
Cream silk,1.00,1.00,,,,,,,0.00
Cream silk,2.00,2.00,,,,,,,0.00
cream wafers,0.60,15.00,13.00,,,,,0.00,0.00
cream wafers chocolate flv,3.68,92.00,28.00,,,,,0.00,0.00
cream wafers strawberry flv,4.68,117.00,106.00,,,,,0.00,0.00
Creamecaramel,0.15,1.00,5.00,,,,,0.00,0.00
Creme,0.00,0.00,,,,,,,0.00
Creme 21,0.00,0.00,6.00,,,,,1.00,0.00
Creme Caramel foster Clark,1.35,9.00,2.00,,,,,0.00,0.00
creme.21,17.00,17.00,3.00,,,,,0.00,0.00
creme21 germany,4.80,12.00,3.00,,,,,0.00,0.00
cricket ligtergun,0.80,4.00,30.00,,,,,0.00,0.00
Croissant,0.54,6.00,876.00,,,,,0.00,0.00
croissant cocoa cream,0.00,0.00,2.00,,,,,1.00,0.00
croks chappal,3.60,2.00,16.00,,,,,0.00,0.00
crosent,0.00,0.00,2.00,,,,,2.00,0.00
crosent,0.00,0.00,17.00,,,,,12.00,0.00
Croson,0.04,1.00,515.00,,,,,0.00,0.00
crossent,0.00,0.00,151.00,,,,,0.00,0.00
crystal,15.00,6.00,,,,,,0.00,0.00
cT-1909,11.00,2.00,,,,,,0.00,0.00
C-T705U,6.00,3.00,,,,,,0.00,0.00
cucumber soap,0.30,1.00,10.00,,,,,0.00,0.00
cudburry,1.25,5.00,100.00,,,,,0.00,0.00
cudburry,5.50,22.00,38.00,,,,,0.00,0.00
cup,0.00,0.00,1.00,,,,,1.00,0.00
cup (mug 330ml),6.00,12.00,1.00,,,,,0.00,0.00
curry Bowl 1,0.00,0.00,1.00,,,,,0.00,0.00
Curry Bowl2,0.35,1.00,,,,,,4.00,0.00
curry Bowl3,0.00,0.00,2.00,,,,,1.00,0.00
Curry Bowl4,0.00,0.00,1.00,,,,,0.00,0.00
curry powder pran 200g,1.65,3.00,2.00,,,,,0.00,0.00
Custard Powder 300g,2.50,10.00,,,,,,0.00,0.00
Cute girl,0.00,0.00,2.00,,,,,1.00,0.00
cutting bord,5.40,6.00,,,,,,0.00,0.00
cutting player,6.00,6.00,,,,,,,0.00
cuttur,3.00,20.00,4.00,,,,,0.00,0.00
cwygom,1.80,6.00,,,,,,,0.00
cxh scroodriver set,4.20,3.00,,,,,,,0.00
cycle Agarbati,2.75,22.00,31.00,,,,,0.00,0.00
Cz50E,14.00,4.00,,,,,,0.00,0.00
D-001,3.50,1.00,2.00,,,,,0.00,0.00
Dabar,2.80,4.00,4.00,,,,,0.00,0.00
Dabee Lime pickle,0.40,2.00,,,,,,,0.00
Dabee Mango pickle,2.20,11.00,,,,,,,0.00
dabee pickle mixed,0.00,0.00,,,,,,,0.00
Dabur Herbal + Brush 150G,2.80,4.00,14.00,,,,,0.00,0.00
Dabur Herbal neem,3.00,6.00,1.00,,,,,0.00,0.00
Dabur Herbl mint lemon,2.50,5.00,2.00,,,,,0.00,0.00
Dabur red 100g,1.05,3.00,,,,,,,0.00
Dabur red with free toothpaste 200g,2.10,3.00,3.00,,,,,0.00,0.00
dabur.herbl.150gm,3.50,5.00,6.00,,,,,0.00,0.00
dac,0.00,0.00,,,,,,,0.00
DAC 1.5L,3.00,3.00,6.00,,,,,0.00,0.00
Dac 1.5ltr,6.60,6.00,,,,,,,0.00
DAC glass cleaner,0.00,0.00,1.00,,,,,1.00,0.00
DAC.gold1.l,0.00,0.00,1.00,,,,,0.00,0.00
Dahabi all purpose flour 1.5 kg,1.10,2.00,4.00,,,,,0.00,0.00
Daily Fresh,1.75,5.00,3.00,,,,,0.00,0.00
Daily Fresh Hommos Tahineh 400gm,9.00,30.00,,,,,,,0.00
Daily fresh light meat tuna,4.50,15.00,2.00,,,,,0.00,0.00
dairy milk,0.00,0.00,,,,,,,0.00
Dairy milk,1.74,3.00,,,,,,,0.00
DAIRY MILK FAMILY PACK,6.00,6.00,,,,,,0.00,0.00
Dairy Milk Fruit &Nut,5.50,20.00,,,,,,,0.00
dairy milk oreo,0.00,0.00,44.00,,,,,4.00,0.00
Dairymilk loop,5.44,64.00,,,,,,,0.00
dairymilk nut,2.75,10.00,,,,,,,0.00
dairymilk nut,6.60,24.00,,,,,,,0.00
Dandanah Fruit Cocktail,0.30,3.00,199.00,,,,,0.00,0.00
Dandanah Mango,0.10,1.00,203.00,,,,,0.00,0.00
Dandanah Orange,0.14,1.00,207.00,,,,,0.00,0.00
danish,0.18,2.00,1422.00,,,,,0.00,0.00
darbat 1.5ltr,6.30,42.00,770.00,,,,,0.00,0.00
darbat500ml,5.60,70.00,170.00,,,,,0.00,0.00
Darbat-6,0.00,0.00,199.00,,,,,0.00,0.00
dark body spray,25.65,19.00,3.00,,,,,0.00,0.00
Dark Chocolate,4.00,4.00,,,,,,,0.00
Data cable,0.00,0.00,3.00,0.00,,,,2.00,0.00
data cable,0.45,1.00,2.00,,,,,0.00,0.00
Data cable type-c,2.50,5.00,11.00,,,,,0.00,0.00
Date Bars,0.00,0.00,93.00,,,,,73.00,0.00
Date bars,0.00,0.00,24.00,,,,,0.00,0.00
Datebars1...carton.15...pcs,0.00,0.00,13.00,,,,,11.00,0.00
Dates,0.00,0.00,9.00,,,,,8.00,0.00
dates iran,3.00,5.00,6.00,,,,,0.00,0.00
Dates past,8.10,9.00,6.00,,,,,0.00,0.00
Dates top ten 200 GM,0.00,0.00,22.00,,,,,10.00,0.00
dates.1.kj,0.00,0.00,28.00,,,,,20.00,0.00
datu puti vinegar 1ltr,0.00,0.00,,,,,,,0.00
Datuputy soy sauce1ltr,2.40,2.00,,,,,,,0.00
day &night,0.00,0.00,9.00,,,,,7.00,0.00
deadseamudsoap,0.00,0.00,,,,,,,0.00
Deema,4.00,8.00,,,,,,,0.00
dekasan prickly heat powder 100G,3.00,6.00,13.00,,,,,0.00,0.00
Del Monet Hommos,2.40,6.00,2.00,,,,,0.00,0.00
Del Monte mixed pickles,5.00,5.00,,,,,,,0.00
deli alkaline battery,2.70,3.00,13.00,,,,,0.00,0.00
deli alkalineAA,1.50,3.00,12.00,,,,,0.00,0.00
Delicio BBQ sauce باربكيو مدخن 532ml,3.00,3.00,,,,,,,0.00
delicio french dressings 267ml,0.85,1.00,2.00,,,,,0.00,0.00
Delico RANCH DRESSING,2.55,3.00,,,,,,,0.00
delights.triplechocolata.100g,6.80,17.00,4.00,,,,,0.00,0.00
Dental floss toothpicl,0.00,0.00,6.00,,,,,1.00,0.00
Deo ana abiyedh,6.00,10.00,2.00,,,,,0.00,0.00
Deo Oud mood 200ml,4.20,7.00,5.00,,,,,0.00,0.00
Dermoviva,5.10,17.00,,,,,,,0.00
dest pad,0.00,0.00,3.00,,,,,1.00,0.00
detargent,0.00,0.00,,,,,,,0.00
detol cool,1.80,2.00,4.00,,,,,0.00,0.00
dettol,0.00,0.00,,,,,,16.00,0.00
Dettol  skincare165 gm,0.30,1.00,2.00,,,,,0.00,0.00
dettol 125 ml,0.00,0.00,17.00,,,,,17.00,0.00
Dettol 1ltr,0.00,0.00,4.00,,,,,1.00,0.00
Dettol 250ml,3.00,3.00,,,,,,,0.00
