Product name,Total stock value ,In Stock,Sold,Damaged,Return to supplier ,Warehouse returns ,Revoked ,Missing ,Expired 
AL KHOUD WATER 500ML,7.20,9.00,17.00,,,,,0.00,0.00
al khoud water1.5,0.00,0.00,1062.00,,,,,7.00,0.00
Al madinah super basmati 5kg,16.80,4.00,3.00,,,,,0.00,0.00
Al Marai Alponsa milk,0.40,2.00,82.00,,,,,0.00,0.00
Al Marai Apple Juice 200ml,0.26,2.00,121.00,,,,,0.00,0.00
AL MARAI CHEDDAR 10SLICES,1.40,2.00,2.00,,,,,0.00,0.00
Al Marai chocolate dessert 85g,0.00,0.00,,,,,,,0.00
Al Marai Cooking Cream 500ml,2.00,2.00,,,,,,,0.00
Al Marai Fresh Laban(360ml),5.71,21.00,212.00,,,,,0.00,0.00
al marai mango grape300ml,0.00,0.00,9.00,,,,,11.00,0.00
Al Marai milk low  fat 500 ml,0.64,2.00,8.00,,,,,0.00,0.00
Al Marai mix berry juice,0.00,0.00,170.00,,,,,1.00,0.00
Al Marai mix fruit mango,0.56,4.00,195.00,,,,,0.00,0.00
Al Marai Mix Lemon,0.96,6.00,197.00,,,,,0.00,0.00
Al Marai Mozzarella 200g,3.00,3.00,6.00,,,,,0.00,0.00
Al Marai Orange juice 200 ml,1.76,11.00,231.00,,,,,0.00,0.00
al marai Strawberry Milk 150 ml,11.25,125.00,,,,,,,0.00
Al Marai Vanilla Custard 85g,0.00,0.00,,,,,,17.00,0.00
al Maria juice pomegrant,0.00,0.00,,,,,,,0.00
Al Maria Mango Grape,0.00,0.00,288.00,,,,,0.00,0.00
Al Maria Mixed Fruit,0.00,0.00,20.00,,,,,0.00,0.00
AL MUDHISH CREAM,1.00,5.00,2.00,,,,,0.00,0.00
Al mudhish milk powder (900g),4.20,2.00,7.00,,,,,0.00,0.00
Al Mudhish milk powder 400g,6.00,6.00,34.00,,,,,0.00,0.00
Al Mudish Milk powder (2.5kg),10.80,2.00,4.00,,,,,0.00,0.00
AL Nahda Mint 320gsm,1.30,1.00,,,,,,,0.00
Al Rayyan (5 Gallon) disposal,8.50,10.00,113.00,,,,,0.00,0.00
al reef,0.00,0.00,2.00,,,,,0.00,0.00
Al Safi Turkish Labaneh,0.80,2.00,13.00,,,,,0.00,0.00
Al watania meat tuna,5.50,11.00,1.00,,,,,0.00,0.00
alalali dumpling mix,3.20,4.00,,,,,,,0.00
alfalaj,0.00,0.00,1.00,,,,,1.00,0.00
Al-Felaji Toothbrush,4.80,48.00,110.00,,,,,0.00,0.00
Ali Cafe 3in1 25g,2.55,17.00,41.00,,,,,0.00,0.00
Ali coffee,21.20,4.00,,,,,,,0.00
Ali coffee  French roast,13.05,3.00,,,,,,0.00,0.00
Ali Tea classic,17.40,4.00,,,,,,,0.00
Ali Tea Ginger,31.15,7.00,,,,,,,0.00
Alicafe 3in 1,6.30,42.00,7.00,,,,,0.00,0.00
Alicafe classic 3in1 20gm,1.12,8.00,24.00,,,,,0.00,0.00
alicafe ginger,0.00,0.00,1.00,,,,,0.00,0.00
alicafe3in1clasic,2.70,27.00,,,,,,,0.00
alicaffe22ps,5.40,2.00,2.00,,,,,0.00,0.00
alighter,3.25,13.00,6.00,,,,,0.00,0.00
alkhareef.400.g,0.40,2.00,,,,,,,0.00
alkoud water,3.60,9.00,117.00,,,,,12.00,0.00
All khareef cor. Rigate400 g,0.20,1.00,5.00,,,,,0.00,0.00
All khareef lumaconi 400g,1.40,7.00,1.00,,,,,0.00,0.00
all khoud water 250ml,0.00,0.00,,,,,,,0.00
all khoud water 500ml,6.04,170.00,1106.00,,,,,0.00,0.00
All marai pineapple orange 300,0.00,0.00,,,,,,,0.00
All maraiTropical 1.4ltr,0.00,0.00,3.00,,,,,3.00,0.00
All Maria 140 ml mango,2.16,24.00,,,,,,,0.00
all Maria mango luban,0.00,0.00,16.00,,,,,0.00,0.00
All Maria mixed orange&carrot1.4l,0.00,0.00,1.00,,,,,0.00,0.00
All Mazra Chk P,2.20,11.00,1.00,,,,,0.00,0.00
all mazraa foul medamas 400gm,2.20,11.00,3.00,,,,,0.00,0.00
All mubhir,0.00,0.00,15.00,,,,,10.00,0.00
All mudhish milk lacnar 1ltr,25.08,59.00,79.00,,,,,0.00,0.00
All safa gizzard 450g,1.50,3.00,4.00,,,,,0.00,0.00
All Watania,0.90,6.00,,,,,,,0.00
all zain chicken franks,0.00,0.00,12.00,,,,,0.00,0.00
Allison,0.00,0.00,1.00,,,,,0.00,0.00
Allison magnet holder,4.40,2.00,1.00,,,,,0.00,0.00
almarai 900g,9.20,4.00,,,,,,,0.00
almarai butter 100g,2.70,6.00,6.00,,,,,0.00,0.00
Almarai Cheddar,0.00,0.00,2.00,,,,,1.00,0.00
almarai cheddar cheese 56g,0.80,4.00,1.00,,,,,0.00,0.00
almarai cheddar taste,2.10,3.00,,,,,,,0.00
Almarai Cheese 120g,5.00,10.00,38.00,,,,,0.00,0.00
Almarai Cheese 200g,3.00,3.00,9.00,,,,,0.00,0.00
Almarai Cheese Burger 200g,1.40,2.00,1.00,,,,,4.00,0.00
almarai cheese slices 200 g,0.65,1.00,3.00,,,,,0.00,0.00
almarai cream caramel 100 g,0.00,0.00,31.00,,,,,0.00,0.00
Almarai Cream cheese,2.95,7.00,5.00,,,,,0.00,0.00
Almarai Feta Cheese 200g,0.00,0.00,3.00,,,,,0.00,0.00
ALMARAI FRESH LABAN 180ML,1.70,10.00,457.00,,,,,0.00,0.00
almarai fresh Laban law fat 180 ml,0.00,0.00,8.00,,,,,0.00,0.00
ALMARAI FRESH MIEK 180ML,1.19,7.00,370.00,,6.00,,,0.00,0.00
Almarai Fresh Milk 2 litr,5.50,5.00,350.00,,8.00,,,0.00,1.00
almarai fresh yoghurt strawberry 100g,0.10,1.00,,,,,,0.00,0.00
Almarai Laban mango,0.00,0.00,98.00,,3.00,,,0.00,0.00
almarai labneh 180g,0.00,0.00,,,,,,,0.00
Almarai mango 1.4L,0.00,0.00,8.00,0.00,,,,0.00,0.00
almarai milk full fat 1ltr,0.58,1.00,118.00,,1.00,,,0.00,0.00
Almarai milk low fat 180 ml,0.15,1.00,2.00,,,,,0.00,0.00
Almarai mix f lemon,0.00,0.00,11.00,,,,,0.00,0.00
Almarai mixed fruit,0.00,0.00,626.00,,,,,11.00,0.00
almarai mixed fruits mango,0.27,1.00,9.00,,,,,0.00,0.00
almarai orange,0.00,0.00,5.00,,,,,2.00,0.00
Almarai orange juice 1.4ltr,0.00,0.00,5.00,,,,,1.00,0.00
almarai orange no added sugar 180 ml,0.00,0.00,8.00,,,,,7.00,0.00
ALmarai Pineapple Orange & GRAPE,0.00,0.00,5.00,,,,,0.00,0.00
almarai pomegranate,0.92,1.00,4.00,,,,,0.00,0.00
Almarai triangles,14.03,51.00,230.00,,,,,0.00,0.00
almarai triangles,3.60,3.00,2.00,,,,,0.00,0.00
Almarai Up  laban 200ml,5.47,77.00,329.00,,,,,0.00,0.00
almarai up 180 ml,0.27,2.00,7.00,0.00,,,,0.00,0.00
Almarai Up pack 6 pcs,0.00,0.00,104.00,,,,,1.00,0.00
almarai vanilla milk 150 ml,1.36,17.00,,,,,,,0.00
Almarai Yoghurt (500gm) FF,3.18,10.00,112.00,,,,,0.00,0.00
almarai yoghurt 1 kg,1.34,2.00,86.00,,1.00,,,0.00,0.00
Almarai Yoghurt 170gf full fat,6.96,48.00,965.00,,17.00,,,0.00,0.00
almarai.cheese.slices,0.00,0.00,2.00,,,,,0.00,0.00
almarayi  mixed berry 1.4 ltr,0.00,0.00,10.00,,,,,0.00,0.00
AlMazra Baked beans,1.80,12.00,,,,,,0.00,0.00
almazraa peas,0.30,2.00,,,,,,,0.00
almir silver coal,0.00,0.00,4.00,,,,,,0.00
almond drops,10.80,12.00,,,,,,,0.00
Almond oil,3.20,8.00,3.00,,,,,12.00,0.00
Almond slivered 200gm,11.20,7.00,,,,,,0.00,0.00
almonds whole six r 200grm,1.55,1.00,8.00,,,,,0.00,0.00
almudhish chips cheese,1.60,8.00,3.00,,,,,0.00,0.00
aloe vera oil 200ml,0.75,1.00,,,,,,,0.00
Aloevera,4.00,4.00,,,,,,,0.00
Aloevera,6.00,6.00,1.00,,,,,0.00,0.00
Aloevera,4.00,4.00,,,,,,,0.00
Aloevera,3.00,3.00,,,,,,,0.00
Aloevera,0.00,0.00,,,,,,,0.00
Aloevera 1000ml,4.00,2.00,1.00,,,,,1.00,0.00
Aloevera body lotion,9.00,6.00,,,,,,,0.00
Aloevera hair mask,0.00,0.00,,,,,,2.00,0.00
Aloevera love jojo,1.00,1.00,1.00,,,,,0.00,0.00
Aloevera love nourishing,1.00,1.00,1.00,,,,,0.00,0.00
alreef 500,17.50,28.00,142.00,,,,,0.00,0.00
als h308,4.00,4.00,2.00,,,,,0.00,0.00
alsafi,0.00,0.00,4.00,,,,,1.00,0.00
alsafi Turkish lebneh 180g,3.00,6.00,,,,,,,0.00
alsn362,4.80,4.00,2.00,,,,,0.00,0.00
altar scrub,3.00,3.00,,,,,,3.00,0.00
alteco Super glue 3g,0.57,3.00,111.00,,,,,0.00,24.00
aluminium,0.00,0.00,2.00,,,,,0.00,0.00
Aluminium containers,0.90,1.00,2.00,,,,,0.00,0.00
Aluminium containers large,2.00,2.00,1.00,,,,,0.00,0.00
